feature,importance
login_timestamp_7/9/2022,0.00011054766091527284
login_timestamp_5/26/2022,0.00011044728340611837
login_timestamp_8/4/2022,0.00010846529785684102
login_timestamp_10/23/2022,0.00010723043880535616
login_timestamp_11/1/2022,0.00010716961977199786
login_timestamp_5/13/2022,0.00010712446575243178
login_timestamp_7/14/2022,0.00010645667317955222
login_timestamp_2/7/2022,0.0001037594009634011
login_timestamp_10/7/2022,0.00010373050008503742
login_timestamp_11/6/2022,0.00010255676435061077
login_timestamp_2/20/2022,0.00010238731340430573
login_timestamp_7/6/2022,0.00010157591632349164
login_timestamp_12/6/2022,0.00010141754964415005
login_timestamp_10/24/2022,0.00010093264317827499
login_timestamp_4/24/2022,0.0001007932985161855
login_timestamp_5/16/2022,0.00010016521675863701
login_timestamp_9/10/2022,9.659455259930978e-05
login_timestamp_1/18/2022,9.638537921196663e-05
login_timestamp_11/24/2022,9.62185066855515e-05
login_timestamp_12/21/2022,9.571472995379718e-05
login_timestamp_10/26/2022,9.526851252416934e-05
login_timestamp_1/28/2022,9.487811879932962e-05
login_timestamp_6/27/2022,9.22069583313544e-05
login_timestamp_2/5/2022,9.103834868035605e-05
login_timestamp_5/18/2022,8.965632361748749e-05
login_timestamp_11/7/2022,8.881149872537133e-05
login_timestamp_6/5/2022,8.873576956911546e-05
login_timestamp_5/25/2022,8.849359605485967e-05
login_timestamp_10/31/2022,8.840378470020474e-05
login_timestamp_7/8/2022,8.759147675917689e-05
login_timestamp_11/9/2022,8.73116743588556e-05
login_timestamp_10/8/2022,8.711363875231144e-05
login_timestamp_9/17/2022,8.675071918362573e-05
login_timestamp_10/9/2022,8.659812876497171e-05
login_timestamp_3/1/2022,8.466966236793345e-05
login_timestamp_7/25/2022,8.173229523539277e-05
login_timestamp_9/19/2022,8.063929973993192e-05
login_timestamp_4/23/2022,8.053954986867374e-05
login_timestamp_6/19/2022,8.008133935111043e-05
login_timestamp_10/17/2022,7.912612943933805e-05
login_timestamp_9/14/2022,7.879941018487182e-05
login_timestamp_6/30/2022,7.836206989162602e-05
login_timestamp_10/20/2022,7.818412750621499e-05
login_timestamp_3/3/2022,7.798621995089267e-05
login_timestamp_7/4/2022,7.783073627598519e-05
login_timestamp_10/18/2022,7.7800749277702e-05
login_timestamp_11/27/2022,7.771481261675475e-05
login_timestamp_3/16/2022,7.69209680849611e-05
login_timestamp_2/19/2022,7.675932603616992e-05
login_timestamp_3/9/2022,7.589444885427424e-05
login_timestamp_5/29/2022,7.49609362566837e-05
